what,kind,bundleId,bundleVersion,description,time
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1366143138714
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1366143142749
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1366143666189
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.delete",1366143686751
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.delete",1366143686924
started,bundle,org.eclipse.wb.core.lib,1.1.0.r37x201109091012,"org.eclipse.wb.core.lib",1366143688128
started,bundle,org.eclipse.wb.core,1.1.0.r37x201109091012,"org.eclipse.wb.core",1366143688157
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1366143688271
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1366143692342
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1366143748614
activated,view,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.PackageExplorer",1366143750871
activated,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1366143752591
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1366143757034
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1366144357331
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1366144368075
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1366144990871
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1366144990938
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1366145073642
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1366145073753
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1366145074881
activated,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1366145074891
closed,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1366145074893
activated,view,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.PackageExplorer",1366145075353
closed,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1366145075354
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1366145077370
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1366145082106
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1366145083038
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1366145085999
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1366145086082
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1366145087692
closed,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1366145087881
started,bundle,org.eclipse.compare,3.5.201.R37x_v20110817-0800,"org.eclipse.compare",1366145088345
stopped,bundle,org.eclipse.m2e.logback.configuration,1.0.100.20110804-1717,"org.eclipse.m2e.logback.configuration",1366145088700
stopped,bundle,org.eclipse.m2e.discovery,1.0.100.20110804-1717,"org.eclipse.m2e.discovery",1366145088703
stopped,bundle,org.eclipse.m2e.refactoring,1.0.100.20110804-1717,"org.eclipse.m2e.refactoring",1366145088705
stopped,bundle,org.eclipse.m2e.editor,1.0.100.20110804-1717,"org.eclipse.m2e.editor",1366145088706
stopped,bundle,org.eclipse.m2e.editor.xml,1.0.100.20110804-1717,"org.eclipse.m2e.editor.xml",1366145088708
stopped,bundle,org.eclipse.m2e.jdt,1.0.100.20110804-1717,"org.eclipse.m2e.jdt",1366145088710
stopped,bundle,org.eclipse.m2e.launching,1.0.100.20110804-1717,"org.eclipse.m2e.launching",1366145088712
stopped,bundle,org.eclipse.m2e.usagedata,1.0.100.20110804-1717,"org.eclipse.m2e.usagedata",1366145088712
stopped,bundle,org.eclipse.ui.cheatsheets,3.4.100.v20110425,"org.eclipse.ui.cheatsheets",1366145088714
stopped,bundle,org.eclipse.help.ui,3.5.101.r37_20110819,"org.eclipse.help.ui",1366145088716
stopped,bundle,org.eclipse.help.webapp,3.6.0.v20110518,"org.eclipse.help.webapp",1366145088718
stopped,bundle,org.eclipse.epp.mpc.ui,1.1.1.I20110907-0947,"org.eclipse.epp.mpc.ui",1366145088718
stopped,bundle,org.eclipse.epp.usagedata.ui,1.3.1.R201106061540,"org.eclipse.epp.usagedata.ui",1366145088737
stopped,bundle,org.eclipse.ui.intro.universal,3.2.500.v20110510,"org.eclipse.ui.intro.universal",1366145088764
stopped,bundle,org.eclipse.ui.intro,3.4.100.v20110425,"org.eclipse.ui.intro",1366145088766
stopped,bundle,org.eclipse.help.base,3.6.1.v201109091335,"org.eclipse.help.base",1366145088768
activated,perspective,org.eclipse.jdt.ui,,"org.eclipse.jdt.ui.JavaPerspective",1366226996058
started,bundle,org.eclipse.osgi,3.7.1.R37x_v20110808-1106,"org.eclipse.osgi",1366226996060
started,bundle,org.eclipse.equinox.simpleconfigurator,1.0.200.v20110502-1955,"org.eclipse.equinox.simpleconfigurator",1366226996061
started,bundle,com.ibm.icu,4.4.2.v20110208,"com.ibm.icu",1366226996062
started,bundle,org.eclipse.core.contenttype,3.4.100.v20110423-0524,"org.eclipse.core.contenttype",1366226996063
started,bundle,org.eclipse.core.databinding.observable,1.4.0.I20110222-0800,"org.eclipse.core.databinding.observable",1366226996064
started,bundle,org.eclipse.core.expressions,3.4.300.v20110228,"org.eclipse.core.expressions",1366226996065
started,bundle,org.eclipse.core.filebuffers,3.5.200.v20110505-0800,"org.eclipse.core.filebuffers",1366226996066
started,bundle,org.eclipse.core.filesystem,1.3.100.v20110423-0524,"org.eclipse.core.filesystem",1366226996068
